"","h1","h2","h3","inj12","inj3","fr","rep","sev"
"GNAI3",0,0,0,0,1,1,0,1
"PBSN",1,0,1,0,0,0,1,0
"CDC45",0,0,0,0,1,0,1,0
"SCML2",0,1,1,0,0,0,1,0
"APOH",0,0,1,0,1,0,1,0
"NARF",1,1,1,0,0,0,0,1
"CAV2",0,0,0,0,1,0,0,1
"KLF6",0,0,0,0,1,1,0,1
"SCMH1",0,1,1,0,1,1,1,0
"COX5A",1,0,0,0,0,1,0,1
"TBX2",1,0,0,0,0,0,1,0
"TBX4",1,1,0,1,1,0,0,0
"ZFY2",1,0,1,0,0,1,1,0
"NGFR",0,1,0,0,0,0,1,1
"WNT3",1,0,0,0,1,0,1,1
"WNT9A",0,0,0,1,1,1,0,1
"FER",1,1,0,0,1,1,1,0
"XPO6",0,0,0,0,1,1,0,1
"TFE3",0,0,0,1,1,0,0,1
"AXIN2",0,1,1,0,0,1,0,0
"BRAT1",0,1,1,0,1,1,1,0
"GNA12",1,1,0,0,0,1,1,0
"SLC22A18",1,1,1,0,0,0,1,0
"ITGB2L",0,1,0,0,1,0,0,1
"IGSF5",0,0,0,1,1,1,1,0
"PIH1D2",0,0,1,0,0,1,1,0
"DLAT",0,0,0,1,1,0,0,0
"SDHD",1,0,0,1,1,0,0,1
"FGF23",0,0,0,1,1,0,1,0
"CCND2",0,0,0,0,1,1,0,1
"GPR107",0,0,0,0,1,1,1,0
"NALCN",0,1,0,0,0,0,0,0
"SLFN4",0,0,0,1,1,0,0,1
"TH",0,1,1,0,0,0,1,1
"INS2",0,0,0,0,1,0,1,1
"SCNN1G",1,1,1,0,0,1,0,0
"DRP2",0,0,1,1,1,1,1,0
"TSPAN32",1,0,0,0,0,1,1,0
"LHX2",0,1,0,0,1,0,1,0
"CLEC2G",0,0,1,0,0,1,1,0
"GMPR",1,1,0,0,1,1,0,1
"GLRA1",0,1,1,0,0,0,0,1
"MID2",0,0,1,0,1,1,0,0
"TRIM25",0,0,0,0,0,0,1,1
"DGKE",0,0,1,1,1,0,0,0
"SCPEP1",1,0,0,1,1,0,1,0
"MNT",0,0,0,1,1,0,0,1
"ITGB2",0,0,0,0,1,1,1,0
"HDDC2",0,0,1,1,1,1,0,1
"TPD52L1",0,0,1,1,1,0,0,0
"PEMT",0,0,1,1,1,0,0,1
"CDH1",0,0,0,1,1,0,0,1
"CDH4",0,1,0,1,1,0,0,0
"CKMT1",1,1,1,1,1,1,0,0
"BCL6B",0,1,0,1,1,0,1,1
"CLEC10A",0,1,0,0,0,1,1,0
"ALOX12",0,1,1,0,0,1,0,0
"ARVCF",1,0,0,0,1,1,0,0
"COMT",0,0,0,1,1,1,1,0
"RTCA",0,0,1,1,0,0,1,0
"DBT",1,1,1,0,0,0,0,0
"DAZAP2",0,0,0,1,1,1,0,1
"MCTS1",0,1,1,0,1,0,1,0
"REM1",0,0,0,1,1,1,0,1
"RNF17",1,0,1,0,0,1,1,0
"TRAPPC10",1,1,1,0,1,0,0,0
"CCM2",0,0,1,1,1,1,0,0
"WAP",0,1,1,0,0,0,1,0
"TBRG4",0,1,0,1,1,0,0,1
"TMPRSS2",0,0,0,1,0,0,0,1
"MX1",0,0,0,0,0,1,1,1
"FAP",0,0,0,0,1,1,1,0
"NDUFA9",1,0,1,1,1,1,0,1
"EGFL6",1,1,0,0,0,1,0,0
"LCK",0,0,0,0,1,1,0,1
"TSSK3",1,0,0,1,1,0,1,0
"CTTNBP2",1,0,0,0,0,1,1,0
"GALNT1",0,1,1,0,0,0,1,0
"MKRN2",0,1,1,0,0,0,1,1
"PPARG",0,0,1,1,1,1,0,1
"RAF1",0,0,0,0,0,0,0,1
"SEPT1",0,0,1,0,1,1,1,0
"PDGFB",0,0,0,0,1,1,0,0
"ACVRL1",0,1,1,0,0,1,1,0
"GRASP",0,0,0,1,1,1,0,1
