"","500_sol_92","4000_sol_2111","250_sol_165","1000_sol_351","500_sol_187","4000_sol_43","250_sol_35","1000_sol_87"
"Fosl1-?->Havcr1",0,1,0,0,0,1,0,1
"Fosl1-?->Myh9",0,1,0,0,0,0,1,0
"Fosl1-?->Nrg1",0,0,1,0,0,0,0,1
"Fosl1-?->Ptprm",0,1,0,1,0,0,1,0
"Fosl1-?->Pvt1",0,0,0,1,1,1,0,0
"Fosl1-?->Tet3",1,0,0,0,1,0,0,0
"Hivep1-?->Myh9",1,0,0,0,0,0,0,1
"Hivep1-?->Nrg1",1,0,0,0,1,0,0,1
"Hivep1-?->Ptprm",0,0,0,0,0,1,0,1
"Hivep1-?->Syne2",1,0,0,1,0,0,1,1
"Hivep1-?->Tshz2",0,0,0,0,1,0,0,0
"Hivep1-?->Vcam1",1,1,1,1,0,1,0,1
"Hnf1b-?->Abca4",1,0,0,0,0,1,0,0
"Hnf1b-?->Acsm5",0,0,1,1,1,1,0,0
"Hnf1b-?->Atxn2",1,1,0,0,0,0,1,1
"Hnf1b-?->Btbd3",1,1,0,0,0,0,1,1
"Hnf1b-?->Esrrg",0,1,0,0,0,1,1,1
"Hnf1b-?->Gcnt1",0,0,1,1,1,1,0,0
"Hnf1b-?->Mpped2",0,0,0,0,0,0,1,0
"Hnf1b-?->Slc16a9",0,0,0,0,0,0,0,0
"Hnf4a-?->Abca4",1,0,0,0,0,1,0,0
"Hnf4a-?->Acsm5",1,1,0,0,0,0,1,1
"Hnf4a-?->Atxn2",0,0,1,1,1,1,0,0
"Hnf4a-?->Bcas3",1,1,1,1,1,1,1,1
"Hnf4a-?->Btbd3",0,0,1,1,1,1,0,0
"Hnf4a-?->Dab2",0,0,0,0,1,1,1,1
"Hnf4a-?->Esrrg",0,1,0,1,1,1,0,1
"Hnf4a-?->Fhit",0,0,0,0,1,1,1,1
"Hnf4a-?->Gas2",0,0,0,0,1,1,1,1
"Hnf4a-?->Gatm",0,0,0,0,1,1,1,1
"Hnf4a-?->Gcnt1",1,1,0,0,0,0,1,1
"Hnf4a-?->Kynu",0,0,0,0,1,1,1,1
"Hnf4a-?->Mpped2",0,0,0,0,0,0,0,0
"Hnf4a-?->Plxdc2",0,0,0,0,1,1,1,1
"Hnf4a-?->Slc13a3",0,0,0,0,1,1,1,1
"Hnf4a-?->Slc16a9",0,0,0,0,0,0,0,0
"Hnf4a-?->Slc34a1",0,0,0,0,1,1,1,1
"Hnf4a-?->Unc13c",0,0,0,0,1,1,1,1
"Junb-?->Havcr1",1,0,0,0,1,1,1,0
"Junb-?->Myh9",0,0,0,1,0,1,0,1
"Junb-?->Nrg1",0,0,0,1,1,1,1,0
"Junb-?->Ptprm",1,0,0,0,0,0,0,1
"Junb-?->Tet3",1,0,0,0,0,0,0,0
"Junb-?->Tshz2",0,0,0,1,1,0,0,0
"Klf5-?->Havcr1",0,1,1,1,0,1,0,0
"Klf5-?->Myh9",0,0,0,0,0,0,0,0
"Klf5-?->Nrg1",0,0,0,0,0,0,0,0
"Klf5-?->Ptprm",0,0,1,1,0,0,0,0
"Klf5-?->Pvt1",1,1,1,1,1,0,1,1
"Klf5-?->Tet3",1,0,0,0,0,0,0,0
"Klf5-?->Tshz2",0,0,0,1,0,0,0,0
"Maf-?->Abca4",0,0,0,0,0,1,0,0
"Maf-?->Acsm5",1,1,0,0,0,0,1,1
"Maf-?->Atxn2",0,0,1,1,1,1,0,0
"Maf-?->Bcas3",1,1,1,1,1,1,1,1
"Maf-?->Btbd3",0,0,1,1,1,1,0,0
"Maf-?->Dab2",1,1,1,1,0,0,0,0
"Maf-?->Esrrg",1,1,1,1,1,1,1,1
"Maf-?->Fhit",1,1,1,1,0,0,0,0
"Maf-?->Gas2",1,1,1,1,0,0,0,0
"Maf-?->Gatm",1,1,1,1,0,0,0,0
"Maf-?->Gcnt1",1,1,0,0,0,0,1,1
"Maf-?->Kynu",1,1,1,1,0,0,0,0
"Maf-?->Mpped2",0,0,0,0,0,0,1,0
"Maf-?->Pdzrn3",1,1,1,1,0,0,0,0
"Maf-?->Plcb1",1,1,1,1,0,0,0,0
"Maf-?->Plxdc2",1,1,1,1,0,0,0,0
"Maf-?->Slc13a3",1,1,1,1,0,0,0,0
"Maf-?->Slc34a1",1,1,1,1,0,0,0,0
"Maf-?->Unc13c",1,1,1,1,0,0,0,0
"Nfkb1-?->Myh9",0,1,1,1,0,0,0,1
"Nfkb1-?->Vcam1",1,0,0,1,1,1,0,0
"Pbx1-?->Esrrg",1,1,1,1,1,1,0,0
"Pbx1-?->Pdzrn3",1,1,0,1,1,1,1,1
"Pbx1-?->Plcb1",1,0,1,0,1,1,1,1
"Relb-?->Myh9",0,1,0,1,1,0,0,0
"Relb-?->Nrg1",0,1,1,0,1,0,0,0
"Relb-?->Ptprm",1,0,1,0,0,0,1,1
"Relb-?->Syne2",1,1,1,0,0,0,0,1
"Relb-?->Tshz2",0,0,0,1,1,0,0,0
"Relb-?->Vcam1",0,0,0,0,0,1,1,1
"Tcf7l1-?->Myh9",0,1,0,1,0,1,1,1
"Tcf7l1-?->Nrg1",1,1,0,1,1,1,1,1
"Tcf7l1-?->Ptprm",0,0,0,0,0,0,0,1
"Tcf7l1-?->Syne2",0,1,0,0,1,1,1,1
"Tcf7l1-?->Tshz2",0,0,1,1,0,0,0,0
"Tcf7l1-?->Vcam1",1,0,0,0,1,1,1,0
"Tead4-?->Havcr1",0,1,1,0,0,0,0,1
"Tead4-?->Ptprm",0,0,1,0,1,1,0,1
"Tead4-?->Tet3",1,0,0,0,1,0,0,0
